Step:147, ACC:64.91, Iter:0, batch:147, time:164.71, loss:0.49
Step:148, ACC:65.01, Iter:0, batch:148, time:165.60, loss:0.47
Step:149, ACC:65.06, Iter:0, batch:149, time:167.40, loss:0.51
Step:150, ACC:65.09, Iter:0, batch:150, time:168.43, loss:0.54
Step:151, ACC:65.18, Iter:0, batch:151, time:169.46, loss:0.52
Step:152, ACC:65.25, Iter:0, batch:152, time:170.30, loss:0.50
Step:153, ACC:65.28, Iter:0, batch:153, time:171.10, loss:0.55
Step:154, ACC:65.34, Iter:0, batch:154, time:172.97, loss:0.53
Step:155, ACC:65.39, Iter:0, batch:155, time:173.65, loss:0.53
Step:156, ACC:65.55, Iter:0, batch:156, time:174.45, loss:0.43
Step:157, ACC:65.65, Iter:0, batch:157, time:175.14, loss:0.48
Step:158, ACC:65.71, Iter:0, batch:158, time:175.91, loss:0.51
Step:159, ACC:65.82, Iter:0, batch:159, time:177.79, loss:0.46
Step:160, ACC:65.85, Iter:0, batch:160, time:178.61, loss:0.52
Step:161, ACC:65.94, Iter:0, batch:161, time:179.30, loss:0.45
Step:162, ACC:66.05, Iter:0, batch:162, time:179.96, loss:0.45
Step:163, ACC:66.16, Iter:0, batch:163, time:180.78, loss:0.43
Step:164, ACC:66.23, Iter:0, batch:164, time:182.39, loss:0.47
Step:165, ACC:66.31, Iter:0, batch:165, time:183.20, loss:0.47
Step:166, ACC:66.39, Iter:0, batch:166, time:183.96, loss:0.45
Step:167, ACC:66.45, Iter:0, batch:167, time:184.86, loss:0.47
Step:168, ACC:66.53, Iter:0, batch:168, time:185.79, loss:0.43
Step:169, ACC:66.64, Iter:0, batch:169, time:187.56, loss:0.40
Step:170, ACC:66.68, Iter:0, batch:170, time:188.84, loss:0.47
Step:171, ACC:66.76, Iter:0, batch:171, time:189.70, loss:0.43
Step:172, ACC:66.82, Iter:0, batch:172, time:190.42, loss:0.45
Step:173, ACC:66.84, Iter:0, batch:173, time:191.40, loss:0.55
Step:174, ACC:66.90, Iter:0, batch:174, time:193.08, loss:0.45
Step:175, ACC:66.98, Iter:0, batch:175, time:193.98, loss:0.49
Step:176, ACC:67.05, Iter:0, batch:176, time:195.02, loss:0.50
Step:177, ACC:67.11, Iter:0, batch:177, time:196.03, loss:0.44
Step:178, ACC:67.12, Iter:0, batch:178, time:198.00, loss:0.59
Step:179, ACC:67.15, Iter:0, batch:179, time:198.96, loss:0.49
Step:180, ACC:67.20, Iter:0, batch:180, time:199.93, loss:0.49
Step:181, ACC:67.24, Iter:0, batch:181, time:200.84, loss:0.45
Step:182, ACC:67.33, Iter:0, batch:182, time:201.61, loss:0.44
Step:183, ACC:67.36, Iter:0, batch:183, time:202.26, loss:0.61
Step:184, ACC:67.39, Iter:0, batch:184, time:203.91, loss:0.53
Step:185, ACC:67.44, Iter:0, batch:185, time:205.07, loss:0.53
Step:186, ACC:67.51, Iter:0, batch:186, time:205.86, loss:0.42
Step:187, ACC:67.54, Iter:0, batch:187, time:206.78, loss:0.53
Step:188, ACC:67.60, Iter:0, batch:188, time:207.45, loss:0.53
Step:189, ACC:67.65, Iter:0, batch:189, time:209.05, loss:0.44
Step:190, ACC:67.72, Iter:0, batch:190, time:209.89, loss:0.46
Step:191, ACC:67.73, Iter:0, batch:191, time:210.55, loss:0.53
Step:192, ACC:67.79, Iter:0, batch:192, time:211.39, loss:0.44
Step:193, ACC:67.83, Iter:0, batch:193, time:212.32, loss:0.58
Step:194, ACC:67.82, Iter:0, batch:194, time:214.04, loss:0.59
Step:195, ACC:67.90, Iter:0, batch:195, time:214.93, loss:0.44
Step:196, ACC:67.89, Iter:0, batch:196, time:215.76, loss:0.54
Step:197, ACC:67.93, Iter:0, batch:197, time:216.52, loss:0.47
Step:198, ACC:68.00, Iter:0, batch:198, time:218.76, loss:0.44
Step:199, ACC:68.05, Iter:0, batch:199, time:219.62, loss:0.48
Step:200, ACC:68.06, Iter:0, batch:200, time:220.54, loss:0.51
Step:201, ACC:68.13, Iter:0, batch:201, time:221.33, loss:0.46
Step:202, ACC:68.20, Iter:0, batch:202, time:222.44, loss:0.41
Step:203, ACC:68.21, Iter:0, batch:203, time:224.69, loss:0.54
Step:204, ACC:68.29, Iter:0, batch:204, time:225.83, loss:0.44
Step:205, ACC:68.35, Iter:0, batch:205, time:227.03, loss:0.42
Step:206, ACC:68.40, Iter:0, batch:206, time:228.26, loss:0.49
Step:207, ACC:68.39, Iter:0, batch:207, time:230.41, loss:0.57
Step:208, ACC:68.37, Iter:0, batch:208, time:231.36, loss:0.60
Step:209, ACC:68.42, Iter:0, batch:209, time:232.31, loss:0.50
Step:210, ACC:68.46, Iter:0, batch:210, time:233.05, loss:0.46
Step:211, ACC:68.51, Iter:0, batch:211, time:233.80, loss:0.50
Step:212, ACC:68.51, Iter:0, batch:212, time:234.78, loss:0.63
Step:213, ACC:68.57, Iter:0, batch:213, time:236.53, loss:0.43
Step:214, ACC:68.60, Iter:0, batch:214, time:237.39, loss:0.51
Step:215, ACC:68.66, Iter:0, batch:215, time:238.09, loss:0.45
Step:216, ACC:68.66, Iter:0, batch:216, time:238.98, loss:0.50
Step:217, ACC:68.70, Iter:0, batch:217, time:239.87, loss:0.45
Step:218, ACC:68.72, Iter:0, batch:218, time:241.87, loss:0.52
Step:219, ACC:68.74, Iter:0, batch:219, time:242.47, loss:0.47
Step:220, ACC:68.76, Iter:0, batch:220, time:243.39, loss:0.55
Step:221, ACC:68.80, Iter:0, batch:221, time:244.35, loss:0.46
Step:222, ACC:68.86, Iter:0, batch:222, time:245.29, loss:0.43
Step:223, ACC:68.91, Iter:0, batch:223, time:246.93, loss:0.47
Step:224, ACC:68.95, Iter:0, batch:224, time:248.17, loss:0.41
Step:225, ACC:68.95, Iter:0, batch:225, time:248.98, loss:0.62
Step:226, ACC:68.96, Iter:0, batch:226, time:249.83, loss:0.44
Step:227, ACC:69.01, Iter:0, batch:227, time:251.63, loss:0.46
Step:228, ACC:69.03, Iter:0, batch:228, time:252.43, loss:0.51
Step:229, ACC:69.06, Iter:0, batch:229, time:253.18, loss:0.50
Step:230, ACC:69.10, Iter:0, batch:230, time:253.83, loss:0.45
Step:231, ACC:69.13, Iter:0, batch:231, time:254.45, loss:0.51
Step:232, ACC:69.16, Iter:0, batch:232, time:256.09, loss:0.42
Step:233, ACC:69.12, Iter:0, batch:233, time:256.85, loss:0.60
Step:234, ACC:69.16, Iter:0, batch:234, time:257.65, loss:0.52
Step:235, ACC:69.24, Iter:0, batch:235, time:258.50, loss:0.41
Step:236, ACC:69.28, Iter:0, batch:236, time:259.47, loss:0.43
Step:237, ACC:69.33, Iter:0, batch:237, time:261.45, loss:0.51
Step:238, ACC:69.38, Iter:0, batch:238, time:262.39, loss:0.44
Step:239, ACC:69.39, Iter:0, batch:239, time:263.31, loss:0.55
Step:240, ACC:69.42, Iter:0, batch:240, time:263.98, loss:0.44
Step:241, ACC:69.49, Iter:0, batch:241, time:264.92, loss:0.43
Step:242, ACC:69.55, Iter:0, batch:242, time:266.85, loss:0.44
Step:243, ACC:69.57, Iter:0, batch:243, time:267.67, loss:0.51
Step:244, ACC:69.59, Iter:0, batch:244, time:268.35, loss:0.49
Step:245, ACC:69.61, Iter:0, batch:245, time:269.53, loss:0.51
Step:246, ACC:69.65, Iter:0, batch:246, time:270.76, loss:0.50
Step:247, ACC:69.72, Iter:0, batch:247, time:272.39, loss:0.38
Step:248, ACC:69.75, Iter:0, batch:248, time:273.29, loss:0.52
