Step:177, ACC:68.26, Iter:0, batch:177, time:186.45, loss:0.54
Step:178, ACC:68.37, Iter:0, batch:178, time:187.28, loss:0.40
Step:179, ACC:68.44, Iter:0, batch:179, time:188.57, loss:0.45
Step:180, ACC:68.49, Iter:0, batch:180, time:189.67, loss:0.43
Step:181, ACC:68.54, Iter:0, batch:181, time:190.76, loss:0.45
Step:182, ACC:68.56, Iter:0, batch:182, time:192.10, loss:0.56
Step:183, ACC:68.60, Iter:0, batch:183, time:192.76, loss:0.48
Step:184, ACC:68.64, Iter:0, batch:184, time:193.54, loss:0.60
Step:185, ACC:68.65, Iter:0, batch:185, time:194.05, loss:0.59
Step:186, ACC:68.69, Iter:0, batch:186, time:194.60, loss:0.54
Step:187, ACC:68.74, Iter:0, batch:187, time:195.88, loss:0.48
Step:188, ACC:68.81, Iter:0, batch:188, time:196.74, loss:0.50
Step:189, ACC:68.84, Iter:0, batch:189, time:197.56, loss:0.52
Step:190, ACC:68.84, Iter:0, batch:190, time:199.02, loss:0.53
Step:191, ACC:68.90, Iter:0, batch:191, time:200.03, loss:0.45
Step:192, ACC:68.99, Iter:0, batch:192, time:201.16, loss:0.48
Step:193, ACC:69.06, Iter:0, batch:193, time:202.20, loss:0.50
Step:194, ACC:69.12, Iter:0, batch:194, time:203.68, loss:0.46
Step:195, ACC:69.18, Iter:0, batch:195, time:204.50, loss:0.47
Step:196, ACC:69.22, Iter:0, batch:196, time:205.32, loss:0.46
Step:197, ACC:69.25, Iter:0, batch:197, time:206.05, loss:0.52
Step:198, ACC:69.26, Iter:0, batch:198, time:207.30, loss:0.52
Step:199, ACC:69.31, Iter:0, batch:199, time:208.30, loss:0.39
Step:200, ACC:69.36, Iter:0, batch:200, time:209.05, loss:0.45
Step:201, ACC:69.36, Iter:0, batch:201, time:210.47, loss:0.55
Step:202, ACC:69.36, Iter:0, batch:202, time:211.53, loss:0.57
Step:203, ACC:69.42, Iter:0, batch:203, time:212.20, loss:0.45
Step:204, ACC:69.46, Iter:0, batch:204, time:213.01, loss:0.47
Step:205, ACC:69.51, Iter:0, batch:205, time:214.29, loss:0.48
Step:206, ACC:69.55, Iter:0, batch:206, time:215.13, loss:0.51
Step:207, ACC:69.53, Iter:0, batch:207, time:215.94, loss:0.60
Step:208, ACC:69.53, Iter:0, batch:208, time:216.58, loss:0.50
Step:209, ACC:69.55, Iter:0, batch:209, time:218.27, loss:0.45
Step:210, ACC:69.56, Iter:0, batch:210, time:219.04, loss:0.52
Step:211, ACC:69.62, Iter:0, batch:211, time:219.90, loss:0.40
Step:212, ACC:69.72, Iter:0, batch:212, time:220.63, loss:0.37
Step:213, ACC:69.74, Iter:0, batch:213, time:222.28, loss:0.51
Step:214, ACC:69.75, Iter:0, batch:214, time:223.01, loss:0.51
Step:215, ACC:69.81, Iter:0, batch:215, time:223.77, loss:0.40
Step:216, ACC:69.85, Iter:0, batch:216, time:225.01, loss:0.45
Step:217, ACC:69.91, Iter:0, batch:217, time:225.75, loss:0.42
Step:218, ACC:69.98, Iter:0, batch:218, time:226.61, loss:0.48
Step:219, ACC:69.99, Iter:0, batch:219, time:228.28, loss:0.48
Step:220, ACC:70.04, Iter:0, batch:220, time:228.97, loss:0.43
Step:221, ACC:70.12, Iter:0, batch:221, time:229.62, loss:0.43
Step:222, ACC:70.12, Iter:0, batch:222, time:230.26, loss:0.52
Step:223, ACC:70.16, Iter:0, batch:223, time:231.52, loss:0.49
Step:224, ACC:70.23, Iter:0, batch:224, time:232.39, loss:0.36
Step:225, ACC:70.28, Iter:0, batch:225, time:233.27, loss:0.50
Step:226, ACC:70.32, Iter:0, batch:226, time:233.87, loss:0.49
Step:227, ACC:70.38, Iter:0, batch:227, time:235.32, loss:0.38
