Step:169, ACC:93.87, Iter:1, batch:12, time:11.82, loss:0.31
Step:170, ACC:94.20, Iter:1, batch:13, time:13.22, loss:0.12
Step:171, ACC:94.06, Iter:1, batch:14, time:14.59, loss:0.28
Step:172, ACC:94.14, Iter:1, batch:15, time:15.38, loss:0.19
Step:173, ACC:94.21, Iter:1, batch:16, time:16.23, loss:0.19
Step:174, ACC:94.01, Iter:1, batch:17, time:16.92, loss:0.33
Step:175, ACC:94.08, Iter:1, batch:18, time:17.67, loss:0.20
Step:176, ACC:93.75, Iter:1, batch:19, time:18.78, loss:0.36
Step:177, ACC:93.75, Iter:1, batch:20, time:19.77, loss:0.24
Step:178, ACC:93.82, Iter:1, batch:21, time:20.83, loss:0.19
Step:179, ACC:93.82, Iter:1, batch:22, time:21.84, loss:0.17
Step:180, ACC:93.62, Iter:1, batch:23, time:22.56, loss:0.34
Step:181, ACC:93.38, Iter:1, batch:24, time:23.47, loss:0.41
Step:182, ACC:93.45, Iter:1, batch:25, time:24.37, loss:0.20
Step:183, ACC:93.46, Iter:1, batch:26, time:25.15, loss:0.24
Step:184, ACC:93.47, Iter:1, batch:27, time:26.04, loss:0.25
Step:185, ACC:93.59, Iter:1, batch:28, time:27.31, loss:0.13
Step:186, ACC:93.59, Iter:1, batch:29, time:28.32, loss:0.21
Step:187, ACC:93.60, Iter:1, batch:30, time:29.25, loss:0.21
Step:188, ACC:93.65, Iter:1, batch:31, time:30.13, loss:0.19
Step:189, ACC:93.56, Iter:1, batch:32, time:30.89, loss:0.33
Step:190, ACC:93.66, Iter:1, batch:33, time:31.71, loss:0.13
Step:191, ACC:93.79, Iter:1, batch:34, time:32.30, loss:0.10
Step:192, ACC:93.88, Iter:1, batch:35, time:33.00, loss:0.14
Step:193, ACC:93.96, Iter:1, batch:36, time:34.27, loss:0.13
Step:194, ACC:94.00, Iter:1, batch:37, time:35.09, loss:0.19
Step:195, ACC:93.83, Iter:1, batch:38, time:36.16, loss:0.42
Step:196, ACC:93.87, Iter:1, batch:39, time:37.15, loss:0.18
Step:197, ACC:93.83, Iter:1, batch:40, time:37.92, loss:0.24
Step:198, ACC:93.75, Iter:1, batch:41, time:38.77, loss:0.28
Step:199, ACC:93.71, Iter:1, batch:42, time:39.75, loss:0.25
Step:200, ACC:93.75, Iter:1, batch:43, time:40.60, loss:0.17
Step:201, ACC:93.65, Iter:1, batch:44, time:41.36, loss:0.38
Step:202, ACC:93.58, Iter:1, batch:45, time:42.04, loss:0.27
Step:203, ACC:93.52, Iter:1, batch:46, time:42.87, loss:0.33
Step:204, ACC:93.59, Iter:1, batch:47, time:43.55, loss:0.14
Step:205, ACC:93.59, Iter:1, batch:48, time:44.16, loss:0.19
Step:206, ACC:93.62, Iter:1, batch:49, time:45.21, loss:0.20
Step:207, ACC:93.47, Iter:1, batch:50, time:46.09, loss:0.40
Step:208, ACC:93.51, Iter:1, batch:51, time:47.15, loss:0.18
Step:209, ACC:93.48, Iter:1, batch:52, time:48.26, loss:0.24
Step:210, ACC:93.40, Iter:1, batch:53, time:49.36, loss:0.29
Step:211, ACC:93.41, Iter:1, batch:54, time:50.20, loss:0.21
Step:212, ACC:93.36, Iter:1, batch:55, time:51.07, loss:0.26
Step:213, ACC:93.39, Iter:1, batch:56, time:51.91, loss:0.19
Step:214, ACC:93.40, Iter:1, batch:57, time:52.89, loss:0.22
Step:215, ACC:93.38, Iter:1, batch:58, time:53.68, loss:0.27
Step:216, ACC:93.41, Iter:1, batch:59, time:54.63, loss:0.20
Step:217, ACC:93.34, Iter:1, batch:60, time:55.30, loss:0.33
Step:218, ACC:93.35, Iter:1, batch:61, time:56.29, loss:0.22
Step:219, ACC:93.30, Iter:1, batch:62, time:57.29, loss:0.27
Step:220, ACC:93.31, Iter:1, batch:63, time:58.04, loss:0.18
Step:221, ACC:93.32, Iter:1, batch:64, time:58.69, loss:0.21
Step:222, ACC:93.30, Iter:1, batch:65, time:59.62, loss:0.24
Step:223, ACC:93.31, Iter:1, batch:66, time:60.73, loss:0.23
Step:224, ACC:93.27, Iter:1, batch:67, time:61.74, loss:0.30
