Step:97, ACC:62.96, Iter:0, batch:97, time:93.76, loss:0.46
Step:98, ACC:63.01, Iter:0, batch:98, time:95.10, loss:0.56
Step:99, ACC:63.09, Iter:0, batch:99, time:96.05, loss:0.58
Step:100, ACC:63.20, Iter:0, batch:100, time:96.91, loss:0.60
Step:101, ACC:63.24, Iter:0, batch:101, time:97.97, loss:0.57
Step:102, ACC:63.30, Iter:0, batch:102, time:98.94, loss:0.54
Step:103, ACC:63.34, Iter:0, batch:103, time:100.39, loss:0.60
Step:104, ACC:63.39, Iter:0, batch:104, time:101.43, loss:0.56
Step:105, ACC:63.49, Iter:0, batch:105, time:102.63, loss:0.50
Step:106, ACC:63.55, Iter:0, batch:106, time:103.33, loss:0.60
Step:107, ACC:63.56, Iter:0, batch:107, time:104.33, loss:0.63
Step:108, ACC:63.63, Iter:0, batch:108, time:105.59, loss:0.50
Step:109, ACC:63.65, Iter:0, batch:109, time:106.42, loss:0.57
Step:110, ACC:63.70, Iter:0, batch:110, time:107.93, loss:0.55
Step:111, ACC:63.88, Iter:0, batch:111, time:109.31, loss:0.46
Step:112, ACC:64.01, Iter:0, batch:112, time:110.07, loss:0.50
Step:113, ACC:64.05, Iter:0, batch:113, time:110.93, loss:0.57
Step:114, ACC:64.10, Iter:0, batch:114, time:111.81, loss:0.53
Step:115, ACC:64.16, Iter:0, batch:115, time:112.44, loss:0.55
Step:116, ACC:64.24, Iter:0, batch:116, time:113.38, loss:0.54
Step:117, ACC:64.27, Iter:0, batch:117, time:114.08, loss:0.58
Step:118, ACC:64.39, Iter:0, batch:118, time:114.95, loss:0.55
Step:119, ACC:64.45, Iter:0, batch:119, time:115.71, loss:0.52
Step:120, ACC:64.49, Iter:0, batch:120, time:116.61, loss:0.62
Step:121, ACC:64.51, Iter:0, batch:121, time:117.30, loss:0.60
Step:122, ACC:64.56, Iter:0, batch:122, time:118.35, loss:0.54
Step:123, ACC:64.65, Iter:0, batch:123, time:119.48, loss:0.49
Step:124, ACC:64.65, Iter:0, batch:124, time:120.16, loss:0.64
Step:125, ACC:64.78, Iter:0, batch:125, time:121.44, loss:0.50
Step:126, ACC:64.87, Iter:0, batch:126, time:122.50, loss:0.54
Step:127, ACC:64.95, Iter:0, batch:127, time:123.67, loss:0.58
Step:128, ACC:65.00, Iter:0, batch:128, time:124.48, loss:0.50
Step:129, ACC:65.08, Iter:0, batch:129, time:125.51, loss:0.49
Step:130, ACC:65.15, Iter:0, batch:130, time:126.55, loss:0.57
Step:131, ACC:65.16, Iter:0, batch:131, time:127.58, loss:0.55
Step:132, ACC:65.23, Iter:0, batch:132, time:128.24, loss:0.55
Step:133, ACC:65.24, Iter:0, batch:133, time:129.35, loss:0.51
Step:134, ACC:65.31, Iter:0, batch:134, time:130.60, loss:0.53
Step:135, ACC:65.40, Iter:0, batch:135, time:131.64, loss:0.50
Step:136, ACC:65.50, Iter:0, batch:136, time:132.88, loss:0.56
Step:137, ACC:65.56, Iter:0, batch:137, time:133.82, loss:0.49
Step:138, ACC:65.66, Iter:0, batch:138, time:135.17, loss:0.53
Step:139, ACC:65.74, Iter:0, batch:139, time:135.84, loss:0.49
Step:140, ACC:65.81, Iter:0, batch:140, time:136.83, loss:0.52
Step:141, ACC:65.85, Iter:0, batch:141, time:137.55, loss:0.52
Step:142, ACC:65.81, Iter:0, batch:142, time:138.57, loss:0.61
Step:143, ACC:65.89, Iter:0, batch:143, time:139.35, loss:0.49
Step:144, ACC:65.89, Iter:0, batch:144, time:140.48, loss:0.57
Step:145, ACC:65.89, Iter:0, batch:145, time:141.78, loss:0.55
Step:146, ACC:65.95, Iter:0, batch:146, time:142.65, loss:0.47
Step:147, ACC:66.02, Iter:0, batch:147, time:143.57, loss:0.55
Step:148, ACC:66.05, Iter:0, batch:148, time:144.34, loss:0.48
Step:149, ACC:66.12, Iter:0, batch:149, time:145.42, loss:0.48
Step:150, ACC:66.21, Iter:0, batch:150, time:146.50, loss:0.47
Step:151, ACC:66.25, Iter:0, batch:151, time:147.41, loss:0.48
Step:152, ACC:66.32, Iter:0, batch:152, time:148.24, loss:0.51
