Step:112, ACC:93.06, Iter:0, batch:112, time:108.59, loss:0.18
Step:113, ACC:93.02, Iter:0, batch:113, time:109.22, loss:0.34
Step:114, ACC:92.99, Iter:0, batch:114, time:109.96, loss:0.36
Step:115, ACC:93.01, Iter:0, batch:115, time:110.89, loss:0.17
Step:116, ACC:93.04, Iter:0, batch:116, time:112.30, loss:0.17
Step:117, ACC:93.05, Iter:0, batch:117, time:113.16, loss:0.24
Step:118, ACC:93.01, Iter:0, batch:118, time:113.84, loss:0.34
Step:119, ACC:93.01, Iter:0, batch:119, time:115.41, loss:0.38
Step:120, ACC:93.03, Iter:0, batch:120, time:116.10, loss:0.19
Step:121, ACC:93.05, Iter:0, batch:121, time:116.87, loss:0.20
Step:122, ACC:93.06, Iter:0, batch:122, time:117.61, loss:0.21
Step:123, ACC:93.07, Iter:0, batch:123, time:118.26, loss:0.25
Step:124, ACC:93.10, Iter:0, batch:124, time:119.70, loss:0.15
Step:125, ACC:93.12, Iter:0, batch:125, time:120.23, loss:0.18
Step:126, ACC:93.15, Iter:0, batch:126, time:120.89, loss:0.16
Step:127, ACC:93.12, Iter:0, batch:127, time:121.70, loss:0.33
Step:128, ACC:93.14, Iter:0, batch:128, time:123.22, loss:0.14
Step:129, ACC:93.12, Iter:0, batch:129, time:124.23, loss:0.30
Step:130, ACC:93.18, Iter:0, batch:130, time:124.89, loss:0.06
Step:131, ACC:93.19, Iter:0, batch:131, time:126.38, loss:0.20
Step:132, ACC:93.15, Iter:0, batch:132, time:127.29, loss:0.35
Step:133, ACC:93.19, Iter:0, batch:133, time:127.89, loss:0.11
Step:134, ACC:93.22, Iter:0, batch:134, time:128.78, loss:0.13
Step:135, ACC:93.24, Iter:0, batch:135, time:130.21, loss:0.17
Step:136, ACC:93.25, Iter:0, batch:136, time:130.99, loss:0.26
Step:137, ACC:93.25, Iter:0, batch:137, time:132.11, loss:0.22
Step:138, ACC:93.28, Iter:0, batch:138, time:132.77, loss:0.18
Step:139, ACC:93.27, Iter:0, batch:139, time:134.24, loss:0.27
Step:140, ACC:93.30, Iter:0, batch:140, time:135.03, loss:0.13
Step:141, ACC:93.24, Iter:0, batch:141, time:135.82, loss:0.45
Step:142, ACC:93.24, Iter:0, batch:142, time:136.46, loss:0.32
Step:143, ACC:93.22, Iter:0, batch:143, time:137.66, loss:0.34
Step:144, ACC:93.21, Iter:0, batch:144, time:138.45, loss:0.30
Step:145, ACC:93.24, Iter:0, batch:145, time:139.18, loss:0.13
Step:146, ACC:93.24, Iter:0, batch:146, time:139.83, loss:0.26
Step:147, ACC:93.22, Iter:0, batch:147, time:140.62, loss:0.33
Step:148, ACC:93.23, Iter:0, batch:148, time:141.96, loss:0.23
Step:149, ACC:93.23, Iter:0, batch:149, time:142.81, loss:0.21
Step:150, ACC:93.22, Iter:0, batch:150, time:143.81, loss:0.27
Step:151, ACC:93.22, Iter:0, batch:151, time:145.17, loss:0.27
Step:152, ACC:93.22, Iter:0, batch:152, time:146.02, loss:0.25
Step:153, ACC:93.25, Iter:0, batch:153, time:146.67, loss:0.15
Step:154, ACC:93.28, Iter:0, batch:154, time:147.40, loss:0.17
Step:155, ACC:93.32, Iter:0, batch:155, time:148.84, loss:0.10
Step:156, ACC:93.35, Iter:0, batch:156, time:149.45, loss:0.12
Step:157, ACC:93.33, Iter:0, batch:157, time:150.16, loss:0.29
Step:158, ACC:93.33, Iter:0, batch:158, time:150.86, loss:0.23
Step:159, ACC:93.31, Iter:0, batch:159, time:151.64, loss:0.31
Step:160, ACC:93.29, Iter:0, batch:160, time:153.05, loss:0.40
Step:161, ACC:93.33, Iter:0, batch:161, time:153.88, loss:0.12
Step:162, ACC:93.35, Iter:0, batch:162, time:154.61, loss:0.15
Step:163, ACC:93.32, Iter:0, batch:163, time:155.99, loss:0.37
Step:164, ACC:93.30, Iter:0, batch:164, time:156.70, loss:0.33
Step:165, ACC:93.28, Iter:0, batch:165, time:157.41, loss:0.31
Step:166, ACC:93.26, Iter:0, batch:166, time:158.24, loss:0.33
Step:167, ACC:93.26, Iter:0, batch:167, time:158.89, loss:0.30
Step:168, ACC:93.26, Iter:0, batch:168, time:160.11, loss:0.21
Step:169, ACC:93.28, Iter:0, batch:169, time:160.92, loss:0.17
Step:170, ACC:93.27, Iter:0, batch:170, time:161.60, loss:0.27
Step:171, ACC:93.30, Iter:0, batch:171, time:162.18, loss:0.15
Step:172, ACC:93.27, Iter:0, batch:172, time:163.47, loss:0.38
Step:173, ACC:93.27, Iter:0, batch:173, time:164.13, loss:0.25
Step:174, ACC:93.27, Iter:0, batch:174, time:164.70, loss:0.25
Step:175, ACC:93.26, Iter:0, batch:175, time:165.30, loss:0.32
Step:176, ACC:93.24, Iter:0, batch:176, time:166.19, loss:0.39
Step:177, ACC:93.24, Iter:0, batch:177, time:167.66, loss:0.22
Step:178, ACC:93.23, Iter:0, batch:178, time:168.25, loss:0.24
Step:179, ACC:93.23, Iter:0, batch:179, time:169.21, loss:0.27
Step:180, ACC:93.21, Iter:0, batch:180, time:170.63, loss:0.30
Step:181, ACC:93.24, Iter:0, batch:181, time:171.24, loss:0.11
Step:182, ACC:93.25, Iter:0, batch:182, time:171.92, loss:0.21
Step:183, ACC:93.24, Iter:0, batch:183, time:172.79, loss:0.26
Step:184, ACC:93.23, Iter:0, batch:184, time:173.67, loss:0.32
Step:185, ACC:93.24, Iter:0, batch:185, time:174.93, loss:0.21
Step:186, ACC:93.24, Iter:0, batch:186, time:175.78, loss:0.20
Step:187, ACC:93.25, Iter:0, batch:187, time:176.53, loss:0.20
Step:188, ACC:93.22, Iter:0, batch:188, time:177.18, loss:0.38
Step:189, ACC:93.17, Iter:0, batch:189, time:178.55, loss:0.45
Step:190, ACC:93.17, Iter:0, batch:190, time:179.24, loss:0.27
Step:191, ACC:93.15, Iter:0, batch:191, time:179.88, loss:0.37
Step:192, ACC:93.13, Iter:0, batch:192, time:180.66, loss:0.32
Step:193, ACC:93.11, Iter:0, batch:193, time:182.07, loss:0.34
Step:194, ACC:93.12, Iter:0, batch:194, time:182.84, loss:0.21
Step:195, ACC:93.10, Iter:0, batch:195, time:183.55, loss:0.33
Step:196, ACC:93.11, Iter:0, batch:196, time:184.23, loss:0.26
Step:197, ACC:93.09, Iter:0, batch:197, time:185.77, loss:0.33
Step:198, ACC:93.08, Iter:0, batch:198, time:186.62, loss:0.30
Step:199, ACC:93.09, Iter:0, batch:199, time:187.50, loss:0.21
Step:200, ACC:93.09, Iter:0, batch:200, time:188.13, loss:0.24
Step:201, ACC:93.12, Iter:0, batch:201, time:189.58, loss:0.09
Step:202, ACC:93.16, Iter:0, batch:202, time:190.24, loss:0.08
Step:203, ACC:93.14, Iter:0, batch:203, time:190.99, loss:0.32
Step:204, ACC:93.14, Iter:0, batch:204, time:191.74, loss:0.21
Step:205, ACC:93.16, Iter:0, batch:205, time:193.20, loss:0.14
Step:206, ACC:93.18, Iter:0, batch:206, time:193.83, loss:0.10
Step:207, ACC:93.19, Iter:0, batch:207, time:194.52, loss:0.19
Step:208, ACC:93.18, Iter:0, batch:208, time:196.26, loss:0.30
Step:209, ACC:93.18, Iter:0, batch:209, time:196.98, loss:0.26
Step:210, ACC:93.19, Iter:0, batch:210, time:197.78, loss:0.17
Step:211, ACC:93.20, Iter:0, batch:211, time:198.50, loss:0.16
Step:212, ACC:93.22, Iter:0, batch:212, time:199.24, loss:0.13
Step:213, ACC:93.23, Iter:0, batch:213, time:200.84, loss:0.21
Step:214, ACC:93.23, Iter:0, batch:214, time:201.54, loss:0.24
Step:215, ACC:93.24, Iter:0, batch:215, time:202.42, loss:0.22
Step:216, ACC:93.23, Iter:0, batch:216, time:203.84, loss:0.27
Step:217, ACC:93.22, Iter:0, batch:217, time:204.50, loss:0.35
Step:218, ACC:93.19, Iter:0, batch:218, time:205.12, loss:0.40
Step:219, ACC:93.20, Iter:0, batch:219, time:205.80, loss:0.19
Step:220, ACC:93.21, Iter:0, batch:220, time:206.51, loss:0.20
Step:221, ACC:93.22, Iter:0, batch:221, time:207.81, loss:0.22
Step:222, ACC:93.21, Iter:0, batch:222, time:208.84, loss:0.32
Step:223, ACC:93.21, Iter:0, batch:223, time:209.66, loss:0.26
Step:224, ACC:93.21, Iter:0, batch:224, time:210.40, loss:0.27
Step:225, ACC:93.19, Iter:0, batch:225, time:211.70, loss:0.34
Step:226, ACC:93.21, Iter:0, batch:226, time:212.44, loss:0.15
Step:227, ACC:93.22, Iter:0, batch:227, time:213.31, loss:0.21
Step:228, ACC:93.21, Iter:0, batch:228, time:214.90, loss:0.26
Step:229, ACC:93.22, Iter:0, batch:229, time:215.56, loss:0.21
Step:230, ACC:93.22, Iter:0, batch:230, time:216.18, loss:0.22
Step:231, ACC:93.24, Iter:0, batch:231, time:216.89, loss:0.16
Step:232, ACC:93.26, Iter:0, batch:232, time:217.70, loss:0.11
Step:233, ACC:93.29, Iter:0, batch:233, time:218.99, loss:0.08
Step:234, ACC:93.31, Iter:0, batch:234, time:220.06, loss:0.09
Step:235, ACC:93.31, Iter:0, batch:235, time:220.77, loss:0.19
Step:236, ACC:93.30, Iter:0, batch:236, time:221.44, loss:0.37
Step:237, ACC:93.27, Iter:0, batch:237, time:222.82, loss:0.39
Step:238, ACC:93.26, Iter:0, batch:238, time:223.62, loss:0.36
Step:239, ACC:93.27, Iter:0, batch:239, time:224.35, loss:0.11
Step:240, ACC:93.26, Iter:0, batch:240, time:225.23, loss:0.33
Step:241, ACC:93.25, Iter:0, batch:241, time:226.74, loss:0.35
Step:242, ACC:93.22, Iter:0, batch:242, time:227.49, loss:0.42
Step:243, ACC:93.24, Iter:0, batch:243, time:228.33, loss:0.13
Step:244, ACC:93.24, Iter:0, batch:244, time:229.76, loss:0.21
Step:245, ACC:93.23, Iter:0, batch:245, time:230.53, loss:0.33
Step:246, ACC:93.22, Iter:0, batch:246, time:231.22, loss:0.25
Step:247, ACC:93.20, Iter:0, batch:247, time:231.92, loss:0.30
Step:248, ACC:93.20, Iter:0, batch:248, time:233.25, loss:0.22
Step:249, ACC:93.20, Iter:0, batch:249, time:233.98, loss:0.25
Step:250, ACC:93.20, Iter:0, batch:250, time:234.80, loss:0.28
Step:251, ACC:93.20, Iter:0, batch:251, time:235.55, loss:0.21
Step:252, ACC:93.19, Iter:0, batch:252, time:237.05, loss:0.33
Step:253, ACC:93.19, Iter:0, batch:253, time:237.80, loss:0.25
Step:254, ACC:93.19, Iter:0, batch:254, time:238.49, loss:0.26
Step:255, ACC:93.18, Iter:0, batch:255, time:239.40, loss:0.28
Step:256, ACC:93.21, Iter:0, batch:256, time:240.64, loss:0.10
Step:257, ACC:93.20, Iter:0, batch:257, time:241.35, loss:0.25
Step:258, ACC:93.21, Iter:0, batch:258, time:242.12, loss:0.23
Step:259, ACC:93.20, Iter:0, batch:259, time:242.90, loss:0.23
Step:260, ACC:93.21, Iter:0, batch:260, time:244.32, loss:0.17
Step:261, ACC:93.20, Iter:0, batch:261, time:244.97, loss:0.33
Step:262, ACC:93.18, Iter:0, batch:262, time:245.79, loss:0.31
Step:263, ACC:93.19, Iter:0, batch:263, time:246.58, loss:0.23
Step:264, ACC:93.18, Iter:0, batch:264, time:247.29, loss:0.28
Step:265, ACC:93.18, Iter:0, batch:265, time:248.87, loss:0.24
Step:266, ACC:93.18, Iter:0, batch:266, time:249.71, loss:0.24
Step:267, ACC:93.18, Iter:0, batch:267, time:250.52, loss:0.20
Step:268, ACC:93.18, Iter:0, batch:268, time:251.83, loss:0.20
Step:269, ACC:93.19, Iter:0, batch:269, time:252.78, loss:0.18
Step:270, ACC:93.18, Iter:0, batch:270, time:253.77, loss:0.25
Step:271, ACC:93.17, Iter:0, batch:271, time:254.44, loss:0.41
Step:272, ACC:93.16, Iter:0, batch:272, time:256.00, loss:0.30
Step:273, ACC:93.16, Iter:0, batch:273, time:256.59, loss:0.23
Step:274, ACC:93.15, Iter:0, batch:274, time:257.34, loss:0.34
Step:275, ACC:93.14, Iter:0, batch:275, time:258.18, loss:0.26
Step:276, ACC:93.15, Iter:0, batch:276, time:259.72, loss:0.18
Step:277, ACC:93.16, Iter:0, batch:277, time:260.32, loss:0.17
Step:278, ACC:93.15, Iter:0, batch:278, time:260.96, loss:0.27
Step:279, ACC:93.18, Iter:0, batch:279, time:261.77, loss:0.09
Step:280, ACC:93.18, Iter:0, batch:280, time:263.05, loss:0.23
Step:281, ACC:93.17, Iter:0, batch:281, time:263.68, loss:0.32
Step:282, ACC:93.16, Iter:0, batch:282, time:264.57, loss:0.28
Step:283, ACC:93.18, Iter:0, batch:283, time:265.26, loss:0.14
Step:284, ACC:93.19, Iter:0, batch:284, time:266.66, loss:0.18
Step:285, ACC:93.20, Iter:0, batch:285, time:267.53, loss:0.14
Step:286, ACC:93.22, Iter:0, batch:286, time:268.27, loss:0.12
Step:287, ACC:93.21, Iter:0, batch:287, time:269.04, loss:0.26
Step:288, ACC:93.21, Iter:0, batch:288, time:270.58, loss:0.23
Step:289, ACC:93.23, Iter:0, batch:289, time:271.41, loss:0.05
Step:290, ACC:93.24, Iter:0, batch:290, time:272.27, loss:0.22
Step:291, ACC:93.26, Iter:0, batch:291, time:273.65, loss:0.08
Step:292, ACC:93.26, Iter:0, batch:292, time:274.36, loss:0.19
Step:293, ACC:93.26, Iter:0, batch:293, time:275.09, loss:0.28
Step:294, ACC:93.26, Iter:0, batch:294, time:276.00, loss:0.24
Step:295, ACC:93.25, Iter:0, batch:295, time:277.42, loss:0.31
Step:296, ACC:93.24, Iter:0, batch:296, time:278.44, loss:0.22
Step:297, ACC:93.26, Iter:0, batch:297, time:279.24, loss:0.11
Step:298, ACC:93.24, Iter:0, batch:298, time:279.95, loss:0.50
Step:299, ACC:93.24, Iter:0, batch:299, time:281.28, loss:0.23
Step:300, ACC:93.23, Iter:0, batch:300, time:282.44, loss:0.33
Step:301, ACC:93.24, Iter:0, batch:301, time:283.11, loss:0.19
Step:302, ACC:93.25, Iter:0, batch:302, time:284.60, loss:0.13
Step:303, ACC:93.25, Iter:0, batch:303, time:285.27, loss:0.23
Step:304, ACC:93.26, Iter:0, batch:304, time:285.84, loss:0.18
Step:305, ACC:93.25, Iter:0, batch:305, time:286.66, loss:0.24
Step:306, ACC:93.26, Iter:0, batch:306, time:288.04, loss:0.18
Step:307, ACC:93.26, Iter:0, batch:307, time:288.67, loss:0.26
Step:308, ACC:93.25, Iter:0, batch:308, time:289.71, loss:0.31
Step:309, ACC:93.25, Iter:0, batch:309, time:290.39, loss:0.24
Step:310, ACC:93.27, Iter:0, batch:310, time:291.65, loss:0.14
Step:311, ACC:93.27, Iter:0, batch:311, time:292.33, loss:0.20
Step:312, ACC:93.28, Iter:0, batch:312, time:293.16, loss:0.16
Step:313, ACC:93.29, Iter:0, batch:313, time:293.97, loss:0.19
Step:314, ACC:93.27, Iter:0, batch:314, time:295.26, loss:0.34
Step:315, ACC:93.28, Iter:0, batch:315, time:296.07, loss:0.19
Step:316, ACC:93.27, Iter:0, batch:316, time:297.01, loss:0.25
Step:317, ACC:93.28, Iter:0, batch:317, time:297.67, loss:0.17
Step:318, ACC:93.27, Iter:0, batch:318, time:299.03, loss:0.32
Step:319, ACC:93.26, Iter:0, batch:319, time:299.67, loss:0.23
Step:320, ACC:93.27, Iter:0, batch:320, time:300.29, loss:0.14
