Step:96, ACC:93.69, Iter:0, batch:96, time:102.38, loss:0.19
Step:97, ACC:93.62, Iter:0, batch:97, time:103.30, loss:0.43
Step:98, ACC:93.61, Iter:0, batch:98, time:104.22, loss:0.36
Step:99, ACC:93.66, Iter:0, batch:99, time:105.48, loss:0.08
Step:100, ACC:93.67, Iter:0, batch:100, time:106.23, loss:0.18
Step:101, ACC:93.66, Iter:0, batch:101, time:107.55, loss:0.26
Step:102, ACC:93.61, Iter:0, batch:102, time:108.24, loss:0.38
Step:103, ACC:93.58, Iter:0, batch:103, time:108.95, loss:0.30
Step:104, ACC:93.56, Iter:0, batch:104, time:110.23, loss:0.33
Step:105, ACC:93.56, Iter:0, batch:105, time:111.61, loss:0.24
Step:106, ACC:93.57, Iter:0, batch:106, time:112.32, loss:0.18
Step:107, ACC:93.56, Iter:0, batch:107, time:113.22, loss:0.25
Step:108, ACC:93.55, Iter:0, batch:108, time:114.57, loss:0.29
Step:109, ACC:93.54, Iter:0, batch:109, time:115.69, loss:0.24
Step:110, ACC:93.57, Iter:0, batch:110, time:116.93, loss:0.17
Step:111, ACC:93.54, Iter:0, batch:111, time:117.88, loss:0.36
Step:112, ACC:93.54, Iter:0, batch:112, time:118.95, loss:0.26
Step:113, ACC:93.56, Iter:0, batch:113, time:119.77, loss:0.22
Step:114, ACC:93.53, Iter:0, batch:114, time:121.20, loss:0.29
Step:115, ACC:93.56, Iter:0, batch:115, time:121.92, loss:0.17
Step:116, ACC:93.55, Iter:0, batch:116, time:122.74, loss:0.29
Step:117, ACC:93.55, Iter:0, batch:117, time:123.99, loss:0.22
Step:118, ACC:93.55, Iter:0, batch:118, time:124.78, loss:0.23
Step:119, ACC:93.53, Iter:0, batch:119, time:126.24, loss:0.26
Step:120, ACC:93.56, Iter:0, batch:120, time:127.33, loss:0.16
Step:121, ACC:93.55, Iter:0, batch:121, time:128.86, loss:0.30
Step:122, ACC:93.53, Iter:0, batch:122, time:130.02, loss:0.28
Step:123, ACC:93.54, Iter:0, batch:123, time:131.24, loss:0.22
Step:124, ACC:93.53, Iter:0, batch:124, time:132.46, loss:0.27
Step:125, ACC:93.54, Iter:0, batch:125, time:133.16, loss:0.20
Step:126, ACC:93.52, Iter:0, batch:126, time:134.30, loss:0.34
Step:127, ACC:93.53, Iter:0, batch:127, time:135.88, loss:0.18
Step:128, ACC:93.54, Iter:0, batch:128, time:137.02, loss:0.18
Step:129, ACC:93.57, Iter:0, batch:129, time:138.24, loss:0.17
Step:130, ACC:93.59, Iter:0, batch:130, time:139.02, loss:0.17
Step:131, ACC:93.57, Iter:0, batch:131, time:140.51, loss:0.31
Step:132, ACC:93.52, Iter:0, batch:132, time:141.20, loss:0.50
Step:133, ACC:93.52, Iter:0, batch:133, time:141.91, loss:0.23
Step:134, ACC:93.50, Iter:0, batch:134, time:143.30, loss:0.31
Step:135, ACC:93.50, Iter:0, batch:135, time:144.22, loss:0.19
Step:136, ACC:93.50, Iter:0, batch:136, time:145.70, loss:0.22
Step:137, ACC:93.53, Iter:0, batch:137, time:146.33, loss:0.12
Step:138, ACC:93.56, Iter:0, batch:138, time:147.71, loss:0.14
Step:139, ACC:93.56, Iter:0, batch:139, time:148.37, loss:0.21
Step:140, ACC:93.58, Iter:0, batch:140, time:149.40, loss:0.18
Step:141, ACC:93.55, Iter:0, batch:141, time:150.79, loss:0.36
Step:142, ACC:93.56, Iter:0, batch:142, time:151.61, loss:0.18
Step:143, ACC:93.54, Iter:0, batch:143, time:153.02, loss:0.32
Step:144, ACC:93.56, Iter:0, batch:144, time:153.73, loss:0.21
Step:145, ACC:93.56, Iter:0, batch:145, time:154.49, loss:0.26
Step:146, ACC:93.56, Iter:0, batch:146, time:155.84, loss:0.24
Step:147, ACC:93.55, Iter:0, batch:147, time:156.90, loss:0.24
Step:148, ACC:93.53, Iter:0, batch:148, time:158.35, loss:0.40
Step:149, ACC:93.49, Iter:0, batch:149, time:159.50, loss:0.37
Step:150, ACC:93.48, Iter:0, batch:150, time:160.75, loss:0.28
Step:151, ACC:93.46, Iter:0, batch:151, time:161.53, loss:0.31
Step:152, ACC:93.48, Iter:0, batch:152, time:162.73, loss:0.17
Step:153, ACC:93.49, Iter:0, batch:153, time:163.70, loss:0.23
Step:154, ACC:93.46, Iter:0, batch:154, time:164.66, loss:0.31
Step:155, ACC:93.44, Iter:0, batch:155, time:166.30, loss:0.32
Step:156, ACC:93.42, Iter:0, batch:156, time:167.93, loss:0.31
Step:157, ACC:93.45, Iter:0, batch:157, time:169.07, loss:0.14
Step:158, ACC:93.47, Iter:0, batch:158, time:169.79, loss:0.20
Step:159, ACC:93.49, Iter:0, batch:159, time:171.03, loss:0.18
Step:160, ACC:93.45, Iter:0, batch:160, time:171.85, loss:0.36
Step:161, ACC:93.48, Iter:0, batch:161, time:172.94, loss:0.12
Step:162, ACC:93.48, Iter:0, batch:162, time:173.63, loss:0.22
Step:163, ACC:93.45, Iter:0, batch:163, time:174.27, loss:0.32
Step:164, ACC:93.44, Iter:0, batch:164, time:175.68, loss:0.30
Step:165, ACC:93.45, Iter:0, batch:165, time:176.42, loss:0.19
