Step:99, ACC:61.52, Iter:0, batch:99, time:94.16, loss:0.55
Step:100, ACC:61.58, Iter:0, batch:100, time:95.10, loss:0.64
Step:101, ACC:61.79, Iter:0, batch:101, time:95.92, loss:0.52
Step:102, ACC:61.90, Iter:0, batch:102, time:96.72, loss:0.59
Step:103, ACC:62.03, Iter:0, batch:103, time:97.57, loss:0.51
Step:104, ACC:62.11, Iter:0, batch:104, time:98.24, loss:0.54
Step:105, ACC:62.19, Iter:0, batch:105, time:99.10, loss:0.53
Step:106, ACC:62.28, Iter:0, batch:106, time:100.12, loss:0.59
Step:107, ACC:62.44, Iter:0, batch:107, time:101.16, loss:0.55
Step:108, ACC:62.51, Iter:0, batch:108, time:102.25, loss:0.60
Step:109, ACC:62.56, Iter:0, batch:109, time:103.43, loss:0.61
Step:110, ACC:62.67, Iter:0, batch:110, time:104.36, loss:0.55
Step:111, ACC:62.67, Iter:0, batch:111, time:105.14, loss:0.61
Step:112, ACC:62.83, Iter:0, batch:112, time:106.16, loss:0.49
Step:113, ACC:62.91, Iter:0, batch:113, time:107.21, loss:0.57
Step:114, ACC:63.07, Iter:0, batch:114, time:108.09, loss:0.52
Step:115, ACC:63.15, Iter:0, batch:115, time:109.16, loss:0.57
Step:116, ACC:63.25, Iter:0, batch:116, time:110.13, loss:0.54
Step:117, ACC:63.34, Iter:0, batch:117, time:111.09, loss:0.53
Step:118, ACC:63.50, Iter:0, batch:118, time:112.12, loss:0.45
Step:119, ACC:63.57, Iter:0, batch:119, time:113.00, loss:0.56
Step:120, ACC:63.68, Iter:0, batch:120, time:114.04, loss:0.52
Step:121, ACC:63.75, Iter:0, batch:121, time:114.92, loss:0.54
Step:122, ACC:63.84, Iter:0, batch:122, time:115.58, loss:0.52
Step:123, ACC:63.95, Iter:0, batch:123, time:116.58, loss:0.53
Step:124, ACC:63.97, Iter:0, batch:124, time:117.82, loss:0.56
Step:125, ACC:64.06, Iter:0, batch:125, time:118.93, loss:0.59
Step:126, ACC:64.10, Iter:0, batch:126, time:119.82, loss:0.56
Step:127, ACC:64.16, Iter:0, batch:127, time:120.58, loss:0.54
Step:128, ACC:64.23, Iter:0, batch:128, time:121.63, loss:0.54
Step:129, ACC:64.33, Iter:0, batch:129, time:122.62, loss:0.48
Step:130, ACC:64.42, Iter:0, batch:130, time:123.70, loss:0.48
Step:131, ACC:64.44, Iter:0, batch:131, time:124.65, loss:0.54
Step:132, ACC:64.57, Iter:0, batch:132, time:125.66, loss:0.45
Step:133, ACC:64.67, Iter:0, batch:133, time:126.45, loss:0.50
Step:134, ACC:64.76, Iter:0, batch:134, time:127.36, loss:0.49
Step:135, ACC:64.82, Iter:0, batch:135, time:128.11, loss:0.50
Step:136, ACC:64.92, Iter:0, batch:136, time:128.78, loss:0.52
Step:137, ACC:65.01, Iter:0, batch:137, time:129.56, loss:0.52
Step:138, ACC:65.10, Iter:0, batch:138, time:130.25, loss:0.53
Step:139, ACC:65.12, Iter:0, batch:139, time:131.02, loss:0.50
Step:140, ACC:65.20, Iter:0, batch:140, time:132.12, loss:0.44
Step:141, ACC:65.29, Iter:0, batch:141, time:133.31, loss:0.55
