Step:177, ACC:93.27, Iter:0, batch:177, time:214.38, loss:0.12
Step:178, ACC:93.27, Iter:0, batch:178, time:215.05, loss:0.21
Step:179, ACC:93.27, Iter:0, batch:179, time:215.74, loss:0.24
Step:180, ACC:93.23, Iter:0, batch:180, time:216.50, loss:0.39
Step:181, ACC:93.25, Iter:0, batch:181, time:217.89, loss:0.12
Step:182, ACC:93.28, Iter:0, batch:182, time:218.68, loss:0.10
Step:183, ACC:93.26, Iter:0, batch:183, time:220.20, loss:0.45
Step:184, ACC:93.24, Iter:0, batch:184, time:221.07, loss:0.29
Step:185, ACC:93.23, Iter:0, batch:185, time:221.70, loss:0.26
Step:186, ACC:93.23, Iter:0, batch:186, time:222.86, loss:0.27
Step:187, ACC:93.22, Iter:0, batch:187, time:223.55, loss:0.26
Step:188, ACC:93.18, Iter:0, batch:188, time:225.00, loss:0.42
Step:189, ACC:93.21, Iter:0, batch:189, time:226.30, loss:0.09
Step:190, ACC:93.22, Iter:0, batch:190, time:227.54, loss:0.18
Step:191, ACC:93.25, Iter:0, batch:191, time:228.97, loss:0.16
Step:192, ACC:93.26, Iter:0, batch:192, time:229.82, loss:0.20
Step:193, ACC:93.25, Iter:0, batch:193, time:230.58, loss:0.33
Step:194, ACC:93.26, Iter:0, batch:194, time:232.11, loss:0.17
Step:195, ACC:93.29, Iter:0, batch:195, time:233.34, loss:0.13
Step:196, ACC:93.28, Iter:0, batch:196, time:234.70, loss:0.25
Step:197, ACC:93.25, Iter:0, batch:197, time:235.52, loss:0.36
Step:198, ACC:93.24, Iter:0, batch:198, time:236.24, loss:0.34
Step:199, ACC:93.25, Iter:0, batch:199, time:237.77, loss:0.17
Step:200, ACC:93.26, Iter:0, batch:200, time:238.72, loss:0.19
Step:201, ACC:93.24, Iter:0, batch:201, time:239.69, loss:0.29
Step:202, ACC:93.27, Iter:0, batch:202, time:241.15, loss:0.11
Step:203, ACC:93.26, Iter:0, batch:203, time:242.03, loss:0.31
Step:204, ACC:93.29, Iter:0, batch:204, time:243.17, loss:0.11
Step:205, ACC:93.29, Iter:0, batch:205, time:244.41, loss:0.33
Step:206, ACC:93.31, Iter:0, batch:206, time:245.12, loss:0.15
Step:207, ACC:93.29, Iter:0, batch:207, time:246.19, loss:0.32
Step:208, ACC:93.31, Iter:0, batch:208, time:248.00, loss:0.14
Step:209, ACC:93.32, Iter:0, batch:209, time:248.86, loss:0.18
Step:210, ACC:93.30, Iter:0, batch:210, time:249.48, loss:0.36
Step:211, ACC:93.27, Iter:0, batch:211, time:251.05, loss:0.38
Step:212, ACC:93.22, Iter:0, batch:212, time:251.86, loss:0.53
Step:213, ACC:93.21, Iter:0, batch:213, time:253.51, loss:0.31
Step:214, ACC:93.21, Iter:0, batch:214, time:254.35, loss:0.26
Step:215, ACC:93.21, Iter:0, batch:215, time:255.06, loss:0.27
Step:216, ACC:93.21, Iter:0, batch:216, time:256.45, loss:0.28
Step:217, ACC:93.21, Iter:0, batch:217, time:257.48, loss:0.23
Step:218, ACC:93.21, Iter:0, batch:218, time:258.71, loss:0.25
Step:219, ACC:93.22, Iter:0, batch:219, time:260.60, loss:0.21
Step:220, ACC:93.21, Iter:0, batch:220, time:261.50, loss:0.27
Step:221, ACC:93.23, Iter:0, batch:221, time:262.88, loss:0.14
Step:222, ACC:93.24, Iter:0, batch:222, time:263.67, loss:0.21
Step:223, ACC:93.24, Iter:0, batch:223, time:264.62, loss:0.20
Step:224, ACC:93.25, Iter:0, batch:224, time:266.19, loss:0.22
Step:225, ACC:93.25, Iter:0, batch:225, time:267.41, loss:0.18
Step:226, ACC:93.26, Iter:0, batch:226, time:268.55, loss:0.22
Step:227, ACC:93.26, Iter:0, batch:227, time:270.10, loss:0.19
Step:228, ACC:93.27, Iter:0, batch:228, time:271.12, loss:0.19
Step:229, ACC:93.24, Iter:0, batch:229, time:272.59, loss:0.38
Step:230, ACC:93.24, Iter:0, batch:230, time:273.73, loss:0.22
Step:231, ACC:93.25, Iter:0, batch:231, time:275.04, loss:0.19
Step:232, ACC:93.26, Iter:0, batch:232, time:276.46, loss:0.17
Step:233, ACC:93.28, Iter:0, batch:233, time:277.66, loss:0.11
Step:234, ACC:93.28, Iter:0, batch:234, time:279.24, loss:0.23
Step:235, ACC:93.29, Iter:0, batch:235, time:280.37, loss:0.16
Step:236, ACC:93.31, Iter:0, batch:236, time:281.83, loss:0.10
